player_name,team_name,primary_position,position_group,minutes,xg_per90,shots_per90,key_passes_per90,passes_per90,pass_completion_pct,dribbles_per90,recoveries_per90,def_actions_per90,xg_per90_pct,shots_per90_pct,key_passes_per90_pct,passes_per90_pct,pass_completion_pct_pct,dribbles_per90_pct,recoveries_per90_pct,def_actions_per90_pct
Abdelkarim Hassan Al Haj Fadlalla,Qatar,Left Center Back,DEF,287.0,0.086,1.88,0.313,49.495,79.1,0.94,3.759,8.771,85.7,100.0,60.7,51.4,33.2,76.4,67.9,47.1
Abdou Diallo,Senegal,Left Center Back,DEF,348.0,0.009,0.258,0.258,47.26,77.6,0.0,1.291,6.973,37.5,37.9,53.6,42.1,28.6,16.1,3.6,18.6
Abdul Rahman Baba,Ghana,Left Wing Back,DEF,214.0,0.0,0.0,0.842,43.379,68.0,2.106,2.527,9.265,13.9,13.9,84.3,31.4,5.7,96.4,33.6,58.6
Abdulelah Al Amri,Saudi Arabia,Right Center Back,DEF,211.0,0.016,0.427,0.0,43.142,75.2,0.0,6.407,14.95,47.9,53.6,23.2,30.7,19.6,16.1,97.9,98.6
Achraf Dari,Morocco,Left Center Back,DEF,200.0,0.188,0.449,0.0,48.03,89.7,0.0,3.591,13.466,96.4,57.5,23.2,46.4,81.4,16.1,61.4,95.7
Achraf Hakimi Mouh,Morocco,Right Back,DEF,699.0,0.018,0.515,0.773,48.927,82.6,1.03,5.536,8.755,51.4,67.1,82.9,47.9,45.0,78.6,90.7,45.0
Alex Sandro Lobo Silva,Brazil,Left Back,DEF,203.0,0.01,0.444,0.444,74.963,88.8,0.887,6.21,11.976,38.9,56.4,68.6,90.7,77.1,74.3,97.1,87.1
Ali Abdi,Tunisia,Left Wing Back,DEF,214.0,0.0,0.0,0.421,45.905,66.1,1.263,5.896,18.109,13.9,13.9,66.4,37.1,2.1,84.3,92.9,100.0
Ali Albulayhi,Saudi Arabia,Left Center Back,DEF,236.0,0.0,0.0,0.0,33.898,79.8,0.0,2.666,7.237,13.9,13.9,23.2,10.0,35.0,16.1,37.9,22.9
Alistair Johnston,Canada,Right Back,DEF,285.0,0.212,0.632,1.264,59.073,83.4,0.0,4.423,7.898,99.3,75.0,95.0,69.3,47.9,16.1,82.1,31.1
Andreas Christensen,Denmark,Left Center Back,DEF,291.0,0.163,0.619,0.0,77.373,94.4,0.309,3.404,9.904,93.6,73.6,23.2,93.6,97.1,47.5,57.9,67.9
Andrija Živković,Serbia,Right Wing Back,DEF,212.0,0.013,0.424,0.849,42.008,73.7,0.424,4.243,8.911,42.1,52.9,85.0,26.4,15.7,55.7,77.1,51.4
Angelo Smit Preciado Quiñónez,Ecuador,Right Back,DEF,275.0,0.023,1.311,0.655,42.264,75.2,0.328,5.897,9.174,53.9,97.1,78.9,27.1,19.6,51.4,93.6,55.7
Antonee Robinson,United States,Left Back,DEF,386.0,0.0,0.0,0.699,55.915,72.9,1.631,7.222,8.154,13.9,13.9,80.7,62.1,14.3,90.7,99.3,34.3
Antonio Rüdiger,Germany,Left Center Back,DEF,294.0,0.202,1.837,0.0,75.612,91.9,0.0,4.898,5.51,97.1,99.3,23.2,91.4,90.4,16.1,85.7,6.4
Aymeric Laporte,Spain,Left Center Back,DEF,320.0,0.012,0.282,0.282,120.845,94.2,0.282,1.408,5.07,40.7,39.3,55.7,98.6,96.4,42.9,5.0,4.3
Aziz Eraltay Behich,Australia,Left Back,DEF,387.0,0.03,0.465,0.0,47.454,75.5,2.326,3.722,7.211,58.9,59.6,23.2,43.6,21.1,97.1,65.7,22.1
Bartosz Bereszyński,Poland,Left Back,DEF,365.0,0.0,0.0,0.0,36.956,80.7,1.725,3.696,9.609,13.9,13.9,23.2,17.1,39.3,92.1,64.3,63.6
Ben Davies,Wales,Left Center Back,DEF,261.0,0.132,1.033,0.0,55.109,75.6,1.033,6.2,9.644,92.9,93.6,23.2,60.7,22.1,79.3,96.4,65.0
Borna Sosa,Croatia,Left Back,DEF,440.0,0.01,0.409,0.409,56.403,80.4,1.431,2.861,9.196,38.9,52.1,65.0,62.9,37.5,88.6,41.4,56.4
Boualem Khoukhi,Qatar,Center Back,DEF,287.0,0.0,0.0,0.0,60.773,86.1,0.313,5.012,13.157,13.9,13.9,23.2,74.3,62.9,50.0,87.9,95.0
Bryan Oviedo,Costa Rica,Left Wing Back,DEF,270.0,0.0,0.0,0.0,29.678,76.4,0.0,2.334,8.67,13.9,13.9,23.2,5.7,23.9,16.1,29.3,43.6
Chris Mepham,Wales,Right Center Back,DEF,297.0,0.0,0.0,0.607,51.567,84.1,0.0,2.123,9.1,13.9,13.9,76.4,55.0,51.4,16.1,24.3,54.6
Connor Roberts,Wales,Right Wing Back,DEF,216.0,0.0,0.0,0.417,49.675,77.3,0.417,2.922,8.766,13.9,13.9,65.7,52.1,26.4,55.0,42.9,46.4
Cristian Gabriel Romero,Argentina,Right Center Back,DEF,578.0,0.0,0.0,0.0,57.944,88.7,0.312,2.96,9.346,13.9,13.9,23.2,65.7,76.1,48.9,46.4,60.0
César Jasib Montes Castro,Mexico,Right Center Back,DEF,291.0,0.031,0.309,0.309,59.341,84.9,0.618,1.854,9.272,60.0,45.4,59.6,70.0,56.8,66.4,17.1,59.3
Daley Blind,Netherlands,Left Wing Back,DEF,452.0,0.104,0.995,0.199,60.477,85.5,0.398,2.586,8.156,89.3,91.4,49.3,73.6,60.0,53.6,35.0,35.0
Daniel Amartey,Ghana,Right Center Back,DEF,301.0,0.0,0.0,0.896,41.833,92.1,0.299,3.586,9.861,13.9,13.9,87.1,25.7,91.4,45.0,60.7,67.1
Danilo Luiz da Silva,Brazil,Left Back,DEF,373.0,0.008,0.483,0.0,64.424,86.9,0.241,2.654,4.584,36.4,63.6,23.2,82.1,68.2,41.4,37.1,2.9
David Raum,Germany,Left Back,DEF,250.0,0.0,0.0,2.516,69.369,78.2,1.078,3.594,12.22,13.9,13.9,100.0,87.9,31.4,82.1,62.1,90.0
Dayotchanculle Upamecano,France,Left Center Back,DEF,520.0,0.0,0.0,0.173,59.689,88.4,0.173,2.941,11.419,13.9,13.9,47.9,72.1,73.6,33.6,44.3,82.1
Dejan Lovren,Croatia,Right Center Back,DEF,631.0,0.054,0.571,0.0,64.765,89.6,0.0,1.569,9.558,75.4,70.0,23.2,83.6,80.4,16.1,8.9,62.9
Denzel Dumfries,Netherlands,Right Wing Back,DEF,516.0,0.049,0.349,0.0,38.009,67.9,1.046,1.744,7.846,72.5,50.0,23.2,21.4,5.0,80.0,12.9,30.0
Felix Eduardo Torres Caicedo,Ecuador,Right Center Back,DEF,288.0,0.048,0.312,0.0,62.123,79.9,0.312,1.873,8.741,71.1,47.1,23.2,78.2,35.7,48.9,17.9,44.3
Filip Kostić,Serbia,Left Wing Back,DEF,191.0,0.006,0.471,0.471,52.72,65.2,0.471,5.178,5.178,34.6,62.1,71.4,57.1,1.4,57.9,88.6,5.0
Francisco Javier Calvo Quesada,Costa Rica,Left Center Back,DEF,194.0,0.007,0.463,0.0,46.759,84.2,1.852,4.63,8.796,35.7,58.6,23.2,40.0,52.9,92.9,83.6,48.6
Guillermo Varela Olivera,Uruguay,Right Back,DEF,211.0,0.0,0.0,0.427,38.87,68.1,0.854,0.854,6.834,13.9,13.9,67.1,22.1,6.4,73.6,2.1,16.4
Harry Maguire,England,Left Center Back,DEF,452.0,0.098,1.195,0.0,81.239,86.5,0.597,2.987,8.761,87.9,94.3,23.2,95.7,65.0,62.1,47.9,45.7
Harry Souttar,Australia,Right Center Back,DEF,387.0,0.016,0.233,0.233,37.917,82.8,0.0,2.326,12.096,47.9,35.0,51.1,20.7,46.1,16.1,27.9,88.6
Hassan Mohammed Al-Tambakti,Saudi Arabia,Right Center Back,DEF,201.0,0.0,0.0,0.0,21.897,75.5,0.0,1.787,11.619,13.9,13.9,23.2,1.4,21.1,16.1,13.6,83.6
Homam Alamin Ahmed,Qatar,Left Wing Back,DEF,273.0,0.0,0.0,0.66,33.968,74.8,1.979,2.968,2.968,13.9,13.9,80.0,10.7,17.9,95.0,47.1,0.7
Héctor Alfredo Moreno Herrera,Mexico,Left Center Back,DEF,292.0,0.055,0.309,0.309,58.971,86.9,0.0,3.705,6.792,76.4,45.4,59.6,68.6,68.2,16.1,65.0,15.7
Ibrahima Konaté,France,Left Center Back,DEF,333.0,0.048,0.541,0.541,61.677,91.7,0.0,4.058,11.903,71.1,69.3,73.6,75.7,89.3,16.1,73.6,85.7
Ismaeel Mohammad Mohammad,Qatar,Right Wing Back,DEF,180.0,0.179,0.998,0.0,33.444,79.1,0.499,1.997,7.488,95.4,92.1,23.2,9.3,33.2,59.3,21.4,26.4
Ismail Jakobs,Senegal,Left Back,DEF,296.0,0.004,0.304,1.214,47.656,66.9,0.304,3.035,8.196,31.4,43.6,93.6,44.3,2.9,46.4,48.6,35.7
Jakub Piotr Kiwior,Poland,Left Center Back,DEF,377.0,0.03,0.239,0.0,48.022,84.1,0.0,1.911,6.929,58.9,35.7,23.2,45.7,51.4,16.1,18.6,17.9
Jan Vertonghen,Belgium,Left Center Back,DEF,284.0,0.034,0.633,0.0,83.603,89.8,0.0,3.167,9.5,62.1,75.7,23.2,96.4,82.9,16.1,51.4,61.4
Jawad El Yamiq,Morocco,Right Center Back,DEF,302.0,0.019,0.298,0.0,47.666,89.4,0.0,3.873,11.023,52.1,40.7,23.2,45.0,79.3,16.1,70.7,78.6
Jean-Charles Castelletto,Cameroon,Right Center Back,DEF,192.0,0.418,0.468,0.0,36.486,80.8,0.468,3.742,13.098,100.0,60.7,23.2,16.4,40.0,56.8,66.4,93.6
Jesús Daniel Gallardo Vasconcelos,Mexico,Left Back,DEF,292.0,0.02,0.309,0.617,42.607,70.3,0.617,4.322,8.336,52.9,45.4,77.1,28.6,8.9,65.7,79.6,38.6
Jin-Su Kim,South Korea,Left Back,DEF,340.0,0.075,0.794,1.059,37.313,72.3,0.529,3.176,10.056,81.8,83.6,90.7,17.9,12.9,60.7,52.1,68.6
Joachim Andersen,Denmark,Right Center Back,DEF,291.0,0.045,1.238,0.0,75.825,81.2,0.309,4.023,11.142,68.9,95.0,23.2,92.1,41.8,47.5,72.9,80.7
Joakim Mæhle,Denmark,Left Wing Back,DEF,264.0,0.014,0.682,0.341,49.413,82.8,2.045,3.749,11.927,43.6,79.3,62.9,50.0,46.1,95.7,67.1,86.4
Joe Rodon,Wales,Center Back,DEF,297.0,0.0,0.0,0.0,49.141,90.7,0.0,1.517,9.1,13.9,13.9,23.2,49.3,86.4,16.1,7.1,54.6
John Stones,England,Right Center Back,DEF,465.0,0.114,0.774,0.194,87.097,95.6,0.194,1.935,4.839,90.7,82.9,48.6,97.9,99.3,35.0,19.3,3.6
Jordi Alba Ramos,Spain,Left Back,DEF,271.0,0.015,0.665,0.998,123.392,88.7,1.33,4.989,6.652,45.4,77.9,89.3,99.3,76.1,85.7,87.1,12.1
Jorge Eduardo Sánchez Ramos,Mexico,Right Back,DEF,183.0,0.003,0.492,0.0,42.272,83.7,1.966,2.458,9.831,29.6,65.0,23.2,27.9,48.6,94.3,31.4,66.4
Josip Juranović,Croatia,Right Back,DEF,631.0,0.006,0.143,0.856,57.917,80.3,0.571,4.565,8.131,34.6,28.6,85.7,65.0,36.4,61.4,82.9,33.6
José Diogo Dalot Teixeira,Portugal,Right Back,DEF,270.0,0.012,0.334,1.001,47.368,81.0,1.334,2.001,10.341,40.7,49.3,90.0,42.9,40.7,86.8,22.1,73.6
